id,address,bedroom_nums,bathroom_nums,car_spaces,land_size,price
87,"18 Landon Street, Fairfield East",5,4,3,398m²,"$1,670,000"
88,"50a Selems Parade, Revesby",4,3,2,234m²,"$1,642,000"
89,"102 First Avenue, Berala",3,1,1,392m²,"$1,440,000"
90,"16 Fifth Avenue, Berala",3,1,1,328m²,"$1,350,000"
91,"5 Ormiston Avenue, West Hoxton",4,2,2,397m²,"$1,201,000"
92,"65a Courtney Road, Padstow",3,2,1,214m²,"$1,125,000"
93,"15 Sowerby Street, Oran Park",4,2,2,375m²,"$1,050,000"
94,"40 Archer Street, Concord",4,2,2,280.7m²,"$2,720,000"
95,"11E Nullawarra Avenue, Concord West",5,3,2,374.7m²,"$2,700,000"
96,"Lot 7/56c Fishburn Crescent, Castle Hill",4,3,2,284m²,"$2,637,500"
97,"108B Holt Road, Taren Point",4,3,4,308.9m²,"$2,300,000"
98,"7 Government Farm Crescent, Castle Hill",5,2,2,340m²,"$2,050,000"
99,"11 Kooraban Crescent, North Kellyville",5,3,2,375m²,"$1,950,000"
100,"43A Brand Street, Carlingford",4,2,2,303m²,"$1,786,500"
101,"16 Bowmer Street, Banksia",3,1,,302m²,"$1,780,000"
102,"107 Belmore Road, Peakhurst",4,2,2,357.7m²,"$1,635,000"
103,"13 Geebung Street, Vineyard",5,4,2,385.5m²,"$1,510,000"
104,"24 Isaac Smith Parade, Kings Langley",5,2,2,348m²,"$1,500,000"
105,"1A Cartwright Crescent, Lalor Park",5,3,1,305.6m²,"$1,450,000"
106,"53 Eighth Avenue, Austral",5,4,2,337m²,"$1,410,000"
107,"30 Garreffa Street, Riverstone",5,3,2,354m²,"$1,360,000"
108,"20a Munro Street, Greystanes",4,2,1,289.4m²,"$1,340,000"
109,"17 Hope Street, Regents Park",4,2,2,286m²,"$1,250,000"
110,"6 Queen Street, Stockton",4,1,1,335.1m²,"$1,200,000"
111,"285 Terry Road, Box Hill",4,2,2,368.7m²,"$1,155,000"
112,"1/4 Chauvel Close, Skennars Head",3,2,2,291m²,"$1,150,000"
113,"6A Premier Street, Canley Vale",4,2,1,315m²,"$1,130,000"
114,"5 Hinkler Street, Mayfield",3,1,2,385m²,"$1,100,000"
115,"93A MILKY WAY, Campbelltown",5,3,1,324m²,"$1,020,000"
116,"48 Finsbury Circuit, Ropes Crossing",4,2,2,375m²,"$1,010,000"
117,"43 Matthew Street, Merrylands",4,2,1,240m²,"$975,000"
118,"11 Sandra Street, Woodpark",3,2,4,379.4m²,"$962,188"
119,"4A Suva Place, Lethbridge Park",4,2,2,303m²,"$835,000"
120,"1/140 Spinnaker Way, Corlette",3,2,1,380.1m²,"$830,000"
121,"9 Blueberry Court, Banora Point",3,1,1,302m²,"$785,000"
122,"342A Annandale Street, Annandale",3,1,1,221.3m²,"$2,860,000"
123,"2 Nirranda Street, Concord West",4,2,2,295.2m²,"$2,535,000"
124,"184 Young Street, Annandale",4,2,,219m²,"$2,430,000"
125,"26 Campsie St, Campsie",4,2,2,395m²,"$2,300,000"
126,"2 Walton Street, Blakehurst",5,4,2,381m²,"$2,228,000"
127,"108 Windsor Road, Dulwich Hill",2,1,1,234m²,"$1,750,000"
128,"5 Dullai Avenue, Pemulwuy",3,2,1,225m²,"$1,260,000"
129,"51 Perkins Drive, Oran Park",3,2,2,375m²,"$1,150,000"
130,"32 Sheila Street (Grantham Farm), Riverstone",4,2,1,328.8m²,"$1,095,000"
131,"17 Nammoona Road, Colebee",3,2,1,250m²,"$1,078,000"
132,"16 Wolara Avenue, Glenmore Park",3,1,1,365m²,"$931,500"
133,"13A Aurora Place, Bateau Bay",3,1,1,290m²,"$718,000"
134,"1 Theatre Place, Thrumster",3,2,2,322m²,"$705,000"
135,"7 Bede Street, Strathfield South",3,1,2,257.8m²,"$1,800,000"
136,"49 Gasnier Avenue, North Kellyville",4,3,2,374m²,"$1,570,000"
137,"57a Lamonerie Street, Toongabbie",4,3,2,256m²,"$1,395,000"
138,"411 Abell Road (Melonba), Marsden Park",5,2,2,300m²,"$1,250,000"
139,"63 Glory Street, Schofields",4,2,1,306m²,"$1,240,000"
140,"132 Arbutus Street, Canley Heights",4,4,1,229m²,"$1,215,000"
141,"7A Winsor Street, Merewether",2,1,1,271m²,"$1,150,000"
142,"23B Chesham Avenue, Oran Park",4,3,1,270m²,"$975,000"
143,"10 Wildflower Crescent, Calderwood",4,2,2,375m²,"$960,000"
144,"21 Gilroy Street, Ropes Crossing",3,1,1,225m²,"$910,000"
145,"16 Vides Street, Cardiff",3,1,2,394m²,"$800,000"
146,"Address available on request, Soldiers Point",3,2,2,281m²,"$795,000"
147,"2 Park Row, Bradbury",3,1,1,323.3m²,"$780,000"
148,"7/10 Woodbell Street, Nambucca Heads",4,2,2,270.7m²,"$640,000"
149,"12 Fourth Street, Lithgow",3,1,1,377m²,"$425,000"
150,"11 Dalton Avenue, Denistone",5,4,2,345m²,"$2,400,000"
151,"143 Salisbury Road, Camperdown",2,2,2,221m²,"$2,225,000"
152,"36 Stanley Street, Arncliffe",5,4,1,256.1m²,"$1,950,000"
153,"80A Ely Street, Revesby",5,4,2,341m²,"$1,900,000"
154,"29A Columbine Avenue, Bankstown",5,3,2,349m²,"$1,900,000"
155,"34 Robey Street, Mascot",3,1,2,262m²,"$1,600,000"
156,"9B Seaward Street, Lennox Head",4,3,2,300m²,"$1,550,000"
157,"9a Andrew Close, Mount Colah",3,1,2,376.8m²,"$1,536,000"
158,"37A Cambridge Street, Penshurst",3,1,1,238m²,"$1,320,000"
159,"42 Heathland Avenue, Schofields",4,2,2,234m²,"$1,225,000"
160,"198 Hamilton Road, Fairfield Heights",3,3,2,345m²,"$1,170,000"
161,"8 Hardy Avenue, Riverwood",3,1,1,392m²,"$1,160,000"
162,"21 Moon Street, Leppington",4,2,1,328m²,"$1,135,000"
163,"22 Abacus Parade, Werrington",4,2,2,352m²,"$1,045,000"
164,"6 Bensley Road, Cobbitty",4,2,2,385m²,"$1,025,000"
165,"417a Ocean Beach Road, Umina Beach",3,2,2,315.7m²,"$980,000"
166,"17 Gunara Terrace, Glenmore Park",3,1,1,400m²,"$935,000"
167,"5 Dalkeith Place, St Helens Park",3,1,1,356m²,"$802,000"
168,"434 Newcastle Road, North Lambton",3,1,1,335m²,"$790,000"
169,"34a Harvie Drive, Boambee East",3,2,2,396.5m²,"$735,000"
170,"20 Florence Street, Cardiff",2,1,4,342m²,"$732,000"
171,"5/35 Black Caviar Parade, Port Macquarie",3,2,2,336m²,"$680,000"
172,"20C Riverside Crescent, Marrickville",5,3,2,349.5m²,"$3,305,000"
173,"Lot 2/44 Junction Road, Moorebank",4,3,1,329.1m²,"$1,500,000"
174,"43a Ellesmere Street, Panania",3,2,1,300m²,"$1,420,000"
175,"42 Sundowner Parkway, Gables",5,2,2,292m²,"$1,325,000"
176,"5A Rex Road, Georges Hall",4,2,2,278.7m²,"$1,225,000"
177,"52 Dorado Street, Box Hill",4,2,1,334m²,"$1,212,000"
178,"6 Mactier Avenue, Airds",5,3,1,328m²,"$1,191,000"
179,"64B Larien Crescent, Birrong",3,2,2,278.8m²,"$1,155,000"
180,"49 Estell Street, Maryville",3,1,,303.5m²,"$1,140,000"
181,"13B Eddington Road, Campbelltown",4,2,2,313m²,"$1,115,000"
182,"154 Lakeside Parade, Jordan Springs",4,2,2,378m²,"$1,072,000"
183,"1B Carey Street, Marsden Park",3,2,1,229m²,"$962,500"
184,"30A Hunter Street, Riverstone",3,1,1,282m²,"$925,000"
185,"6B Dolphin Cres, Eden",3,2,2,317.5m²,"$780,000"
186,"33 Dunphy Crescent, Mudgee",3,2,2,355m²,"$610,000"
187,"3/23 Raymond Terrace Road, East Maitland",3,1,1,246m²,"$600,000"
188,"22 Carrington Parade, New Lambton",4,2,,360m²,"$1,780,000"
189,"7 Phantom Street (Nirimba Fields), Schofields",6,3,2,375m²,"$1,700,100"
190,"14 Edith Street, St Peters",3,1,,265m²,"$1,640,000"
191,"28 Aspect Crescent, Colebee",4,3,2,390m²,"$1,460,000"
192,"93 Brinsley Avenue (Tallawong), Schofields",4,2,2,380m²,"$1,380,000"
193,"95 Marsden Road, West Ryde",3,2,2,331m²,"$1,325,000"
194,"20A Rivendell Crescent, Werrington Downs",3,2,1,335m²,"$910,000"
195,"28B Hampton Street, Croydon Park",4,3,3,348m²,"$2,575,000"
196,"3a Coonong Road, Concord West",5,3,2,340m²,"$2,535,000"
197,"16 MacArthur Parade, Dulwich Hill",3,2,1,261m²,"$2,459,000"
198,"53A Pile Street, Marrickville",2,1,1,360m²,"$2,050,000"
199,"42B Nirimba Avenue, Narwee",5,4,2,328m²,"$1,930,000"
200,"23A Barry Avenue, Mortdale",5,3,3,341m²,"$1,680,000"
201,"191a Dawn Street, Greystanes",5,3,1,286.2m²,"$1,639,999"
202,"29 Salisbury Street, Canley Heights",5,4,2,300m²,"$1,600,000"
203,"25 Caulfield Parkway, Box Hill",5,3,2,400m²,"$1,518,000"
204,"22 Burns Street, Campsie",2,1,,240.2m²,"$1,485,000"
205,"32A Willowtree Avenue, Glenwood",4,2,2,315m²,"$1,465,000"
206,"25b Union Street, Riverwood",4,3,2,296.6m²,"$1,421,000"
207,"2A Blenman Avenue, Punchbowl",4,2,2,350m²,"$1,420,000"
208,"12A Harold Street, Mount Lewis",3,3,2,305.6m²,"$1,291,000"
209,"42 Saltash Street, Yagoona",4,2,2,312m²,"$1,261,000"
210,"41 Greenough Crescent, Marsden Park",5,3,1,250m²,"$1,175,000"
211,"76 O'Connell Street, Parramatta",3,1,1,253m²,"$1,150,000"
212,"15 Ligar Street, Fairfield Heights",3,1,2,319m²,"$1,123,000"
213,"17 Mundowey Entrance, Villawood",4,3,2,352m²,"$1,065,000"
214,"3C Gurney Road, Chester Hill",3,2,2,297.6m²,"$975,000"
215,"70 Allen Street, Leichhardt",4,3,2,312.1m²,"$4,250,000"
216,"16A George Street, Eastlakes",5,3,2,370m²,"$3,200,000"
217,"9a Halcyon Avenue, Padstow",5,4,3,370m²,"$1,910,000"
218,"36B Henry Kendall Avenue, Padstow Heights",5,3,2,278m²,"$1,811,500"
219,"12A Clancy Street, Padstow Heights",5,3,1,276m²,"$1,725,000"
220,"43 Arab Road, Padstow",4,2,2,339m²,"$1,590,000"
221,"20 Bullaburra Street, The Ponds",5,3,1,300m²,"$1,525,000"
222,"24A Seidel Avenue, Picnic Point",3,2,2,282.2m²,"$1,375,000"
223,"3 Long Street, Oran Park",5,3,2,300m²,"$1,360,000"
224,"12 Keswick Avenue, Castle Hill",3,2,1,277m²,"$1,345,000"
225,"33 Fitzpatrick Crescent, Casula",4,3,2,253m²,"$1,300,000"
226,"31 Circinus Street, Austral",5,3,1,320.1m²,"$1,280,000"
227,"Lot 27 Horologium Road, Austral",4,3,2,340.5m²,"$1,207,300"
228,"73 Hastings Street, The Ponds",3,2,2,250m²,"$1,200,000"
229,"84 Wilson Street, Carrington",4,1,2,365m²,"$1,175,000"
230,"2/24 Rosecrea Court, Glenmore Park",4,2,2,340m²,"$1,170,000"
231,"10 Roman Street, Leppington",5,3,2,260m²,"$1,150,000"
232,"12 Armoury Road, Jordan Springs",4,2,1,275m²,"$960,000"
233,"108 Minorca Circuit, Spring Farm",3,2,2,248m²,"$910,000"
234,"29 Mary Street, Macquarie Fields",3,1,1,391m²,"$860,000"
235,"1/35 Black Caviar Parade, Port Macquarie",3,2,2,284m²,"$640,000"
236,"4/14 Westringia Place, Macquarie Fields",2,1,1,232m²,"$620,000"
237,"11B Whipcrack Terrace, Wauchope",4,2,1,138m²,"$605,000"
238,"1/19 Azalea Avenue, Coffs Harbour",3,1,1,340m²,"$600,000"
239,"30 Australia Street, Goulburn",3,1,,306m²,"$410,000"
240,"48 Trafalgar Parade, Concord",4,3,2,326m²,"$2,750,000"
241,"25 Walsh Avenue, Maroubra",3,2,2,369m²,"$2,450,000"
242,"34 Wassell Street, Dundas",4,3,2,313m²,"$1,900,000"
243,"19 Porrima Street, Box Hill",4,2,2,365m²,"$1,800,500"
244,"22b Sandra Avenue, Panania",5,4,1,290m²,"$1,785,000"
245,"28 Sharp Street, Belmore",4,2,2,323m²,"$1,460,000"
246,"37 The Straight, Oran Park",5,3,2,375m²,"$1,430,000"
247,"23 Moon Street, Leppington",4,2,2,328m²,"$1,396,000"
248,"98 Cooper Road, Birrong",4,4,1,280m²,"$1,230,000"
249,"5 Waley Street, Marsden Park",5,3,1,300m²,"$1,210,000"
250,"88 Northbourne Drive, Marsden Park",4,2,1,284m²,"$1,201,000"
251,"276 George Street, Box Hill",4,2,1,314m²,"$1,125,000"
252,"17 Hinkler Street, Mayfield",3,1,1,379m²,"$1,095,000"
253,"31 Corvus Way, Box Hill",4,2,1,345m²,"$1,092,000"
254,"1A Constellation Avenue, Box Hill",4,3,1,250m²,"$1,050,000"
255,"22A Codrington Street, Fairfield",3,2,2,224m²,"$1,005,000"
256,"40 Cadet Circuit, Jordan Springs",4,2,1,385m²,"$957,000"
257,"34 Aldebaran Street, Cranebrook",3,1,1,301m²,"$805,000"
258,"55A Squadron Crescent, Rutherford",4,2,2,351m²,"$705,000"
259,"19 Macquarie Street, Barnsley",2,1,1,331m²,"$675,000"
260,"1/1 Minya Place, Glenfield Park",2,1,1,392m²,"$455,000"
261,"180 Sulphide Street, Broken Hill",2,1,1,271.9m²,"$240,000"
262,"58A Downing Street, Epping",3,2,2,335.2m²,"$2,050,000"
263,"2 Caroline Street, Earlwood",3,2,2,250m²,"$1,890,000"
264,"76a Morotai Road, Revesby Heights",5,3,1,290m²,"$1,640,000"
265,"59 Caledonian Street, Bexley",3,2,4,392m²,"$1,570,000"
266,"7 Dove Street, Revesby",4,3,2,278m²,"$1,550,000"
267,"46 Sundew Parade, Marsden Park",5,3,1,263m²,"$1,175,000"
268,"21 Nile Street, Mayfield",4,2,1,354m²,"$1,165,000"
269,"169b Parkes Street, Helensburgh",3,2,2,348.6m²,"$1,160,000"
270,"28 Felling Street, Box Hill",3,2,1,300m²,"$1,130,000"
271,"134 Percival Road, Greystanes",4,3,2,231.6m²,"$1,100,010"
272,"26 Rocky Point Road, Kogarah",2,1,2,234m²,"$1,080,000"
273,"149 Hampshire Boulevard, Spring Farm",5,2,2,360m²,"$1,070,000"
274,"3/3 Wanda Court, Banora Point",2,1,1,319m²,"$930,000"
275,"168A Princes Street (GRANTHAM FARM), Riverstone",4,2,2,242m²,"$900,000"
276,"76 Loretto Way, Hamlyn Terrace",3,2,1,330m²,"$842,200"
277,"55A Tahnee Street, Sanctuary Point",3,2,1,310m²,"$695,000"
278,"9B Brooklands Circuit, Goulburn",3,2,1,173m²,"$630,000"
279,"78 Albert Street, Erskineville",3,2,,215m²,"$2,750,000"
280,"85A Buffalo Road, Ryde",3,2,1,309m²,"$1,985,000"
281,"27 Highclere Avenue, Banksia",3,4,2,392m²,"$1,720,000"
282,"21A Chiswick Place, Cherrybrook",3,2,2,393m²,"$1,640,000"
283,"11A Universal Street, Mortdale",2,1,,226m²,"$1,250,000"
284,"4 GREENOUGH CRES, Marsden Park",5,3,2,250m²,"$1,200,000"
285,"1 Walnut Street, Greystanes",4,3,2,298.8m²,"$1,200,000"
286,"17B Kurrajong Road, Greystanes",4,2,1,278.5m²,"$1,150,000"
287,"16 Beckhaus Street, Gregory Hills",4,2,2,375m²,"$1,050,000"
288,"28A Ridge Street, Ettalong Beach",3,2,2,294.8m²,"$1,040,000"
289,"3/17 Boundary Street, Woolgoolga",2,2,2,231m²,"$960,000"
290,"3 Response Drive, Tanilba Bay",3,2,2,354m²,"$820,000"
291,"9a Burindi Street, Gwandalan",4,2,1,309m²,"$731,000"
292,"136 Old Hume Highway, Mittagong",3,1,2,392m²,"$520,000"
293,"3 Union Street, Tempe",3,1,1,284.5m²,"$1,932,000"
294,"10 Tempe Street, Greenacre",4,3,2,278.4m²,"$1,300,000"
295,"28 Cadell Street (Tallawong), Schofields",4,2,1,354m²,"$1,275,000"
296,"15 Messina Street, Parklea",3,2,1,350m²,"$1,215,000"
297,"29 High Street, Granville",3,1,1,371m²,"$1,200,000"
298,"24 Eclipse Street, Schofields",4,2,2,251m²,"$1,181,000"
299,"133 Hambledon Road, Schofields",3,2,2,268m²,"$1,106,000"
300,"38 Gannet Drive, Cranebrook",3,2,2,270m²,"$925,000"
301,"70 Armoury Road, Jordan Springs",3,2,2,322m²,"$920,000"
302,"63 Panorama Terrace, Green Point",2,1,1,210m²,"$855,000"
303,"16 & 18 Craig Street, Goulburn",4,2,2,400m²,"$820,000"
304,"2/49 Woodbury Park Drive, Mardi",3,1,1,280m²,"$820,000"
305,"71 Hickory Street, Dorrigo",3,1,3,,"$445,000"
306,"56 Osroy Ave, Earlwood",4,4,4,309m²,"$3,400,000"
307,"319A Queen Street, Concord West",4,3,2,279m²,"$2,950,000"
308,"43 Joseph Street, Ashfield",5,3,2,385m²,"$2,920,000"
309,"23 Laurie Road, Manly Vale",3,1,2,390m²,"$2,885,000"
310,"8 Wride Street, Maroubra",3,1,,277m²,"$2,790,000"
311,"24 Bold Street, Burwood",3,1,2,328m²,"$2,509,000"
312,"24 Frenchmans Road, Randwick",3,1,,219m²,"$2,330,000"
313,"51 Duntroon Street, Hurlstone Park",2,1,1,265.6m²,"$1,945,000"
314,"3 Koolkhan Street, Colebee",4,4,2,398m²,"$1,842,500"
315,"20A Lester Road, Revesby",5,4,3,305m²,"$1,820,000"
316,"21 Merton Street, Kogarah Bay",4,2,3,333m²,"$1,800,000"
317,"21B Edinburgh Drive, Revesby Heights",5,4,2,303m²,"$1,693,000"
318,"24 - 26 Station Street East, Harris Park",4,2,2,385.7m²,"$1,655,000"
319,"96 Unwins Bridge Road, St Peters",2,1,,221.3m²,"$1,510,000"
320,"74A Simmat Avenue, Condell Park",4,2,2,341.9m²,"$1,425,000"
321,"19 Estell Street, Maryville",3,1,,303m²,"$1,405,000"
322,"113 Preddys Road, Bexley North",3,1,2,392m²,"$1,390,000"
323,"25 High Street, Granville",3,1,1,354.1m²,"$1,225,000"
324,"10 Gurner Avenue, Austral",4,3,2,330m²,"$1,225,000"
325,"18 Preston Street, Austral",5,4,2,303.5m²,"$1,210,000"
326,"55 Stratton Road, Oran Park",4,2,2,380m²,"$1,130,000"
327,"26 Anderton Street, Islington",3,2,1,300m²,"$1,070,000"
328,"14 Cumberland Street, Gregory Hills",4,2,1,300m²,"$1,020,500"
329,"62A Emily Street, Mount Druitt",3,1,1,301m²,"$880,000"
330,"122 Bromide Street, Broken Hill",3,1,1,393m²,"$166,000"
331,"92a Abbott Road, North Curl Curl",4,3,2,246m²,"$3,365,000"
332,"214 Great North Road, Five Dock",5,3,2,328m²,"$3,150,000"
333,"12 Lawson Avenue, Marrickville",3,1,,250m²,"$2,325,000"
334,"36A Rona Street, Peakhurst",5,3,3,327.7m²,"$2,075,000"
335,"22B Livingstone Road, Petersham",3,2,,243m²,"$1,850,000"
336,"18a Eileen Street, Picnic Point",4,2,1,310m²,"$1,800,000"
337,"22 Celia Road, North Kellyville",5,3,2,400m²,"$1,730,000"
338,"51 Midlands Terrace, Stanhope Gardens",4,2,2,372m²,"$1,680,000"
339,"14 Reis Street, Tallawong",5,3,2,372m²,"$1,380,000"
340,"3A Nivison Street, Box Hill",5,3,1,282m²,"$1,292,000"
341,"13 Beltana Court, Wattle Grove",3,1,1,322.5m²,"$1,275,000"
342,"39 Canterbury Road, Canterbury",3,1,1,278.2m²,"$1,260,000"
343,"3 Brussels Crescent, Rooty Hill",4,2,2,300.3m²,"$1,136,000"
344,"17 Shamrock Rise, Calderwood",4,2,2,371m²,"$990,000"
345,"12 Butterfactory Drive, Calderwood",4,2,1,300m²,"$950,000"
346,"38 Foster Road, Flinders",3,2,2,206m²,"$880,000"
347,"35 Kalang Avenue, St Marys",2,1,2,341m²,"$835,000"
348,"3 Grove Street, Waratah",1,1,2,282m²,"$755,000"
349,"4/38 Paget Street, Richmond",2,1,1,217m²,"$750,000"
350,"16A Eagle Close, Woodrising",3,2,2,249m²,"$700,000"
351,"19 Marskell Circuit, Mudgee",4,2,1,300m²,"$690,000"
352,"10 Park Street, Bathurst",3,1,2,400m²,"$690,000"
353,"8 Begonia Place, Orange",3,2,1,380m²,"$667,500"
354,"44 Rivergum Drive, Port Macquarie",2,2,1,260m²,"$650,000"
355,"10 Tedesco Street, Austral",4,2,2,320m²,"$648,000"
356,"49 Doncaster Avenue, Dubbo",3,2,2,374.3m²,"$607,500"
357,"35 Taylor Street, Annandale",3,1,,221m²,"$2,400,000"
358,"119 Marshall Road, Carlingford",5,3,2,285m²,"$2,090,000"
359,"5A Richardson Place, Bella Vista",4,2,2,387m²,"$1,888,888"
360,"26 Carbethon Crescent, Beverly Hills",5,3,2,353m²,"$1,831,000"
361,"21 Gibraltar Way, Box Hill",5,3,2,338m²,"$1,655,000"
362,"26 Warrah Street, Hamilton East",3,1,2,342m²,"$1,390,000"
363,"8 Arches Avenue, Box Hill",5,3,2,370m²,"$1,345,000"
364,"31 Scythe Avenue, Austral",4,2,2,324m²,"$1,225,000"
365,"224 George Street, Box Hill",3,2,1,259m²,"$1,030,000"
366,"8 Foxall Street, Grantham Farm",4,2,2,322m²,"$978,500"
